;name
1214;QUILLACOLLO
1215;PUNATA
1216;POTOSI
1217;ORURO
1218;MONTERO
1219;MIZQUE
1220;LLALLAGUA
1221;LA PAZ
1222;HUANUNI
1223;GUAYARAMERIN
1224;COTOCA
1225;COCHABAMBA
1226;COBIJA
1227;CAMIRI
1228;BERMEJO
1229;ASCENCION DE GUARAYOS
1230;SAN BORJA
1231;KRALENDIJK
1232;VITORIA DO MEARIM
1233;VITORIA DE SANTO ANTAO
1234;VISEU
1235;CONDE
1236;VIGIA
1237;VICOSA DO CEARA
1238;VICOSA
1239;VIANA
1240;VARZEA ALEGRE
1241;VARJOTA
1242;VARGEM GRANDE
1243;VALENCA DO PIAUI
1244;UNIAO DOS PALMARES
1245;UNIAO
1246;TUNTUM
1247;TUCURUI
1248;TUCUMA
1249;TRINDADE
1250;TRAIRI
1251;TORITAMA
1252;TOME ACU
1253;TIMON
1254;TIMBIRAS
1255;TIMBAUBA
1256;TIANGUA
1257;TERESINA
1258;SAO JOAO DOS INHAMUNS
1259;TAMANDARE
1260;TABIRA
1261;SURUBIM
1262;SOUSA
1263;SOURE
1264;SOLANEA
1265;SOBRAL
1266;SIRINHAEM
1267;SERTANIA
1268;SERRA TALHADA
1269;SENADOR POMPEU
1270;SATUBA
1271;SAO RAIMUNDO NONATO
1272;SAO MIGUEL DOS CAMPOS
1273;SAO MIGUEL DO GUAMA
1274;SAO MATEUS DO MARANHAO
1275;SAO LUIS DO QUITUNDE
1276;SAO LUIS
1277;SAO LOURENCO DA MATA
1278;SAO JOSE DO EGITO
1279;SAO JOSE DE RIBAMAR
1280;SAO JOSE DE MIPIBU
1281;SAO JOAO DOS PATOS
1282;SAO GONCALO DO AMARANTE
1283;SAO FELIX DO XINGU
1284;SAO DOMINGOS DO MARANHAO
1285;SAO BENTO
1286;SAO BENTO
1287;SANTA RITA
1288;SANTAREM
1289;SANTA QUITERIA DO MARANHAO
1290;SANTA QUITERIA
1291;SANTANA DO IPANEMA
1292;SANTA LUZIA
1293;SANTA INES
1294;SANTA HELENA
1295;SANTA CRUZ DO CAPIBARIBE
1296;SANTA CRUZ
1297;SALINOPOLIS
1298;SALGUEIRO
1299;RUSSAS
1300;RIO LARGO
1301;RIO FORMOSO
1302;RIBEIRAO
1303;RECIFE
1304;QUIXERAMOBIM
1305;QUIXADA
1306;PRESIDENTE DUTRA
1307;SANTANA
1308;PORTO CALVO
1309;PORTEL
1310;POMBOS
